Item,Category,Price ($),Description
Grilled Chicken,Food,12.99,Tender grilled chicken with herbs
Beef Steak,Food,19.99,Juicy steak cooked to order
Margherita Pizza,Food,9.99,"Classic pizza with tomato, mozzarella and basil"
Caesar Salad,Food,7.49,Fresh romaine lettuce with Caesar dressing
fish,Food,8.35,whole baked fish
Lemonade,Drink,2.99,Refreshing homemade lemonade
Espresso,Drink,1.99,Strong black coffee shot
Iced Tea,Drink,2.49,Chilled tea with lemon
orange juice,Drink,2.50,juice of orange
apple juice,Drink,3,juice of apple
